城市名称,从业人员多年均值
city1,180.3888889
city2,355.35
city3,761.5454545
city4,67.5
city5,582.4
city6,233.2272727
city7,326.7222222
city8,288.25
city9,288.3181818
city10,142.5555556
city11,301.5
city12,272
city13,288.95
city14,142.2272727
city15,470.5263158
city16,378.6190476
city17,730
city18,269.6842105
city19,335.7647059
city20,130.4117647
city21,602.9411765
city22,407.1052632
city23,103.6190476
city24,403.15
city25,406.8157895
city26,453.7368421
city27,220.8095238
city28,495.75
city29,330.4473684
city30,252.7894737
city31,172.8181818
city32,267.8
city33,453.5526316
city34,382.8947368
city35,322.8095238
city36,241.45
city37,261.2105263
city38,214.1904762
city39,123.4
city40,176.0526316
