城市名称,第一产业多年均值,第二产业多年均值,第三产业多年均值
city1,29.77777778,86.05555556,64.55555556
city2,23.4,194.65,137.35
city3,outlier,420.4375,490.8125
city4,11.77777778,26.16666667,29.44444444
city5,31.1,337.3,214.3
city6,24.25,248.8125,178.6875
city7,51.66666667,168.2222222,106.9444444
city8,92.4,82.8,113
city9,143.375,65.3125,86.9375
city10,55.94444444,36.33333333,50.38888889
city11,33.5,172.6666667,95.33333333
city12,65.85,109.3,96.9
city13,102,95.5,91.45
city14,67.375,27.0625,40.1875
city15,160.5263158,152.5263158,157.5263158
city16,59.66666667,29.26666667,51.26666667
city17,67.06666667,275.7333333,482
city18,31.26315789,140.2105263,98.21052632
city19,76.05882353,152.2352941,107.3529412
city20,54.47058824,37.52941176,38.58823529
city21,75.76470588,256.5294118,270.6470588
city22,45.89473684,143.7368421,215.5789474
city23,6.466666667,51.86666667,56.66666667
city24,outlier,56.23529412,66.58823529
city25,43.82352941,253.3529412,180.9411765
city26,107.1052632,199.9473684,146.6842105
city27,64.6,100.5333333,68.33333333
city28,0.411764706,77.05882353,56.05882353
city29,82.64705882,163.4705882,139.0588235
city30,88.36842105,75.42105263,89
city31,76.6,94.53333333,75.66666667
city32,outlier,45.47058824,24
city33,78.11764706,245.9411765,218.2352941
city34,116.2105263,122.5789474,144.1052632
city35,195.8666667,48.53333333,91.86666667
city36,outlier,21.70588235,16.94117647
city37,46.73684211,118.3157895,96.15789474
city38,107.5333333,53.33333333,60.33333333
city39,outlier,24.35294118,15.17647059
city40,28.68421053,81.36842105,66
