城市名称,,常住人口多年均值（万人）,户籍人口多年均值（万人）
city1,1,293.125,262.375
city2,2,641,448.3125
city3,3,1136.761905,279.047619
city4,4,111.8125,96.9375
city5,5,1019.125,622.0625
city6,6,730.8571429,380
city7,7,486.5,441.5
city8,8,483.3125,550.1333333
city9,9,584.8095238,737.4285714
city10,10,221.75,262.4375
city11,11,451.875,347.3125
city12,12,463,472.9375
city13,13,485.75,530.9375
city14,14,279.0952381,351.952381
city15,15,871,998
city16,16,282.8571429,324.2857143
city17,17,1319.761905,809.7619048
city18,18,467.3333333,368.3333333
city19,19,544.0625,472.5
city20,20,216.5625,251.5625
city21,21,893.3125,716.5
city22,22,803.8125,653.5333333
city23,23,168.9047619,102.8571429
city24,24,717.3125,624.2857143
city25,25,766.5625,582.0625
city26,26,733.5,764.5333333
city27,27,521,521.0952381
city28,28,693.5238095,765.5238095
city29,29,598.875,588.5
city30,30,448.375,513.4
city31,31,437.8095238,390.4761905
city32,32,458.8125,422.6666667
city33,33,880.5,798.5625
city34,34,729.4375,819.7333333
city35,35,681.6666667,775.5714286
city36,36,378.125,389.9047619
city37,37,449.625,459.2666667
city38,38,383.7619048,419.7619048
city39,39,207.5625,185.5714286
city40,40,311.625,257.0666667
